35,Morehouse School of Medicine,Georgia,Atlanta,1975,https://en.wikipedia.org/wiki/Morehouse_School_of_Medicine,http://www.msm.edu/
36,Morehouse School of Medicine,Georgia,Atlanta,1975,https://en.wikipedia.org/wiki/Morehouse_School_of_Medicine,http://www.msm.edu/
37,Loyola University Chicago Stritch School of Medicine,Illinois,Maywood,1915,https://en.wikipedia.org/wiki/Stritch_School_of_Medicine,http://stritch.luc.edu
38,Northwestern University Feinberg School of Medicine,Illinois,Chicago,1859,https://en.wikipedia.org/wiki/Feinberg_School_of_Medicine,http://www.feinberg.northwestern.edu/
39,Chicago Medical School of Rosalind Franklin University of Medicine and Science,Illinois,North Chicago,1912,https://en.wikipedia.org/wiki/Chicago_Medical_School,http://www.rosalindfranklin.edu/cms
40,Rush Medical College,Illinois,Chicago,1837,https://en.wikipedia.org/wiki/Rush_Medical_College,http://www.rushu.rush.edu/medcol/
41,Southern Illinois University School of Medicine,Illinois,Springfield,1970,https://en.wikipedia.org/wiki/Southern_Illinois_University_School_of_Medicine,http://www.siumed.edu/
42,University of Chicago Pritzker School of Medicine,Illinois,Chicago,1927,https://en.wikipedia.org/wiki/Pritzker_School_of_Medicine,https://pritzker.uchicago.edu/
43,University of Illinois College of Medicine,Illinois,"Chicago, Urbana, Peoria, & Rockford",1882,https://en.wikipedia.org/wiki/University_of_Illinois_College_of_Medicine,http://www.medicine.uic.edu
44,Indiana University School of Medicine,Indiana,"Indianapolis
Bloomington,
Fort Wayne,
Terre Haute,
South Bend,
Lafayette,
Gary,
Evansville,
Muncie",1903,https://en.wikipedia.org/wiki/Indiana_University_School_of_Medicine,http://medicine.iu.edu
45,University of Iowa Roy J. and Lucille A. Carver College of Medicine,Iowa,Iowa City,1869,https://en.wikipedia.org/wiki/University_of_Iowa,http://uiowa.edu
46,University of Kansas School of Medicine,Kansas,"Kansas City, Wichita, Salina",1880,https://en.wikipedia.org/wiki/University_of_Kansas_School_of_Medicine,http://medicine.kumc.edu
47,University of Kentucky College of Medicine,Kentucky,Lexington,1960,https://en.wikipedia.org/wiki/University_of_Kentucky_College_of_Medicine,http://med.uky.edu/
48,University of Louisville School of Medicine,Kentucky,Louisville,1837,https://en.wikipedia.org/wiki/University_of_Louisville_School_of_Medicine,http://www.louisville.edu/medicine
49,Louisiana State University School of Medicine in New Orleans,Louisiana,New Orleans,1931,https://en.wikipedia.org/wiki/LSU_Health_Sciences_Center_New_Orleans,http://www.lsuhsc.edu/
50,Louisiana State University School of Medicine in Shreveport,Louisiana,Shreveport,1969,https://en.wikipedia.org/wiki/LSU_Health_Sciences_Center_Shreveport,http://www.lsuhscshreveport.edu/Education/som/index
51,Tulane University School of Medicine,Louisiana,New Orleans,1834,https://en.wikipedia.org/wiki/Tulane_University_School_of_Medicine,http://www.som.tulane.edu/
52,Johns Hopkins University School of Medicine,Maryland,Baltimore,1887,https://en.wikipedia.org/wiki/Johns_Hopkins_School_of_Medicine,http://www.hopkinsmedicine.org/som/
53,Uniformed Services University of the Health Sciences F. Edward Hebert School of Medicine,Maryland,Bethesda,1972,https://en.wikipedia.org/wiki/Uniformed_Services_University_of_the_Health_Sciences,http://www.usuhs.edu
54,University of Maryland School of Medicine,Maryland,Baltimore,1807,https://en.wikipedia.org/wiki/University_of_Maryland_School_of_Medicine,http://www.medschool.umaryland.edu/
55,Boston University School of Medicine,Massachusetts,Boston,1848,https://en.wikipedia.org/wiki/Boston_University_School_of_Medicine,http://www.bumc.bu.edu/busm/
56,Harvard Medical School,Massachusetts,Boston,1782,https://en.wikipedia.org/wiki/Harvard_Medical_School,https://hms.harvard.edu/
57,Tufts University School of Medicine,Massachusetts,Boston,1893,https://en.wikipedia.org/wiki/Tufts_University_School_of_Medicine,http://www.tufts.edu/med
58,University of Massachusetts Medical School,Massachusetts,Worcester,1962,https://en.wikipedia.org/wiki/University_of_Massachusetts_Medical_School,http://www.umassmed.edu
59,Central Michigan University College of Medicine,Michigan,Mount Pleasant,2013,https://en.wikipedia.org/wiki/Central_Michigan_University,http://www.cmich.edu
60,Michigan State University College of Human Medicine,Michigan,"East Lansing, Grand Rapids",1964,https://en.wikipedia.org/wiki/Michigan_State_University_College_of_Human_Medicine,http://www.chm.msu.edu/
61,University of Michigan Medical School,Michigan,Ann Arbor,1850,https://en.wikipedia.org/wiki/University_of_Michigan_Health_System,http://labblog.uofmhealth.org/
62,Oakland University William Beaumont School of Medicine,Michigan,Rochester,2008,https://en.wikipedia.org/wiki/Oakland_University_William_Beaumont_School_of_Medicine,http://www.oakland.edu/medicine
63,Wayne State University School of Medicine,Michigan,Detroit,1868,https://en.wikipedia.org/wiki/Wayne_State_University_School_of_Medicine,http://www.med.wayne.edu
64,Western Michigan University Homer Stryker M.D. School of Medicine,Michigan,Kalamazoo,2012,https://en.wikipedia.org/wiki/Western_Michigan_University_Homer_Stryker_M.D._School_of_Medicine,http://med.wmich.edu
65,Mayo Clinic College of Medicine,Minnesota,Rochester,1972,https://en.wikipedia.org/wiki/Mayo_Medical_School,http://www.mayo.edu
66,University of Minnesota Medical School,Minnesota,"Minneapolis, Duluth",1888,https://en.wikipedia.org/wiki/University_of_Minnesota_Medical_School,http://www.med.umn.edu
67,University of Mississippi School of Medicine,Mississippi,Jackson,1903,https://en.wikipedia.org/wiki/University_of_Mississippi_School_of_Medicine,http://som.umc.edu/
