43,Louisiana State University School of Medicine in New Orleans,Louisiana,New Orleans,https://en.wikipedia.org/wiki/LSU_Health_Sciences_Center_New_Orleans
44,Louisiana State University School of Medicine in Shreveport,Louisiana,Shreveport,https://en.wikipedia.org/wiki/LSU_Health_Sciences_Center_Shreveport
45,Loyola University Chicago Stritch School of Medicine,Illinois,Maywood,https://en.wikipedia.org/wiki/Stritch_School_of_Medicine
46,Mayo Clinic College of Medicine,Minnesota,Rochester,https://en.wikipedia.org/wiki/Mayo_Medical_School
47,Mayo Medical School,Arizona,Scottsdale,https://en.wikipedia.org/wiki/Mayo_Medical_School
48,Medical College of Georgia at Augusta University,Georgia,Augusta & Athens,https://en.wikipedia.org/wiki/Medical_College_of_Georgia
49,Medical College of Wisconsin,Wisconsin,Milwaukee,https://en.wikipedia.org/wiki/Medical_College_of_Wisconsin
50,Medical University of South CarolinaCollege of Medicine,South Carolina,Charleston,https://en.wikipedia.org/wiki/Medical_University_of_South_Carolina
51,Meharry Medical College School of Medicine,Tennessee,Nashville,https://en.wikipedia.org/wiki/Meharry_Medical_College
52,Mercer University School of Medicine,Georgia,Macon,https://en.wikipedia.org/wiki/Mercer_University_School_of_Medicine
53,Michigan State University College of Human Medicine,Michigan,"East Lansing, Grand Rapids",https://en.wikipedia.org/wiki/Michigan_State_University_College_of_Human_Medicine
54,Morehouse School of Medicine,Georgia,Atlanta,https://en.wikipedia.org/wiki/Morehouse_School_of_Medicine
55,New York Medical College,New York,Valhalla,https://en.wikipedia.org/wiki/New_York_Medical_College
56,New York University School of Medicine,New York,Manhattan,https://en.wikipedia.org/wiki/New_York_University_School_of_Medicine
57,Northeast Ohio Medical University College of Medicine,Ohio,Rootstown,https://en.wikipedia.org/wiki/Northeast_Ohio_Medical_University
58,Northwestern University Feinberg School of Medicine,Illinois,Chicago,https://en.wikipedia.org/wiki/Feinberg_School_of_Medicine
59,Oakland University William Beaumont School of Medicine,Michigan,Rochester,https://en.wikipedia.org/wiki/Oakland_University_William_Beaumont_School_of_Medicine
60,Oregon Health & Science UniversitySchool of Medicine,Oregon,Portland,https://en.wikipedia.org/wiki/Oregon_Health_%26_Science_University
61,Pennsylvania State University College of Medicine,Pennsylvania,Hershey,https://en.wikipedia.org/wiki/Penn_State_Milton_S._Hershey_Medical_Center
62,Perelman School of Medicine at the University of Pennsylvania,Pennsylvania,Philadelphia,https://en.wikipedia.org/wiki/Perelman_School_of_Medicine_at_the_University_of_Pennsylvania
63,Ponce School of Medicine,Puerto Rico,Ponce,https://en.wikipedia.org/wiki/Ponce_School_of_Medicine
64,Rush Medical College,Illinois,Chicago,https://en.wikipedia.org/wiki/Rush_Medical_College
65,Rutgers New Jersey Medical School,New Jersey,Newark,https://en.wikipedia.org/wiki/New_Jersey_Medical_School
66,Rutgers Robert Wood Johnson Medical School,New Jersey,Piscataway & New Brunswick,https://en.wikipedia.org/wiki/Robert_Wood_Johnson_Medical_School
67,Saint Louis University School of Medicine,Missouri,St. Louis,https://en.wikipedia.org/wiki/Saint_Louis_University_School_of_Medicine
68,San Juan Bautista School of Medicine,Puerto Rico,Caguas,https://en.wikipedia.org/wiki/San_Juan_Bautista_School_of_Medicine
69,Sanford School of Medicine of the University of South Dakota,South Dakota,Vermillion,https://en.wikipedia.org/wiki/University_of_South_Dakota_Sanford_School_of_Medicine
70,Sidney Kimmel Medical College at Thomas Jefferson University,Pennsylvania,Philadelphia,http://www.jefferson.edu/university/skmc.html
71,Southern Illinois University School of Medicine,Illinois,Springfield,https://en.wikipedia.org/wiki/Southern_Illinois_University_School_of_Medicine
72,Stanford University School of Medicine,California,Palo Alto & San Francisco,https://en.wikipedia.org/wiki/Stanford_University_School_of_Medicine
73,State University of New York Downstate Medical Center College of Medicine,New York,Brooklyn,https://en.wikipedia.org/wiki/SUNY_Downstate_Medical_Center
74,State University of New York Upstate Medical University,New York,Syracuse,https://en.wikipedia.org/wiki/State_University_of_New_York_Upstate_Medical_University
75,Stony Brook University School of Medicine,New York,Stony Brook,https://en.wikipedia.org/wiki/Stony_Brook_University_School_of_Medicine
76,Temple University School of Medicine,Pennsylvania,"Philadelphia, Pittsburgh(begins 2013), Bethlehem(begins 2011)",https://en.wikipedia.org/wiki/Temple_University_School_of_Medicine
77,Texas A&M Health Science Center College of Medicine,Texas,College Station,https://en.wikipedia.org/wiki/Texas_A%26M_Health_Science_Center_College_of_Medicine
78,Texas Tech University Health Sciences Center Paul L. Foster School of Medicine,Texas,El Paso,https://en.wikipedia.org/wiki/Paul_L._Foster_School_of_Medicine
79,Texas Tech University Health Sciences Center School of Medicine,Texas,Lubbock,https://en.wikipedia.org/wiki/Texas_Tech_University_Health_Sciences_Center_School_of_Medicine
80,The Brody School of Medicine at East Carolina University,North Carolina,Greenville,https://en.wikipedia.org/wiki/The_Brody_School_of_Medicine_at_East_Carolina_University
81,The Ohio State University College of Medicine,Ohio,Columbus,https://en.wikipedia.org/wiki/The_Ohio_State_University_College_of_Medicine
